iter	Passed	Remaining
411	3969	5665
412	3978	5654
413	3987	5643
414	3995	5632
415	4004	5621
416	4013	5610
417	4021	5599
418	4030	5588
419	4039	5578
420	4048	5567
421	4057	5557
422	4066	5546
423	4075	5536
424	4085	5527
425	4094	5516
426	4103	5506
427	4111	5495
428	4120	5484
429	4129	5473
430	4138	5463
431	4147	5452
432	4157	5443
433	4166	5433
434	4175	5422
435	4183	5411
436	4191	5400
437	4200	5389
438	4209	5378
439	4219	5369
440	4228	5359
441	4237	5349
442	4245	5338
443	4254	5328
444	4263	5317
445	4272	5306
446	4280	5295
447	4289	5285
448	4298	5274
449	4307	5264
450	4315	5253
451	4325	5243
452	4333	5233
453	4344	5224
454	4354	5215
455	4363	5206
456	4374	5197
457	4384	5188
458	4394	5179
459	4404	5170
460	4413	5160
461	4422	5149
462	4431	5139
463	4439	5128
464	4448	5117
465	4457	5107
466	4465	5096
467	4474	5086
468	4486	5080
469	4508	5083
470	4524	5082
471	4540	5078
472	4554	5074
473	4587	5090
474	4611	5096
475	4631	5098
476	4648	5097
477	4662	5092
478	4673	5083
479	4683	5074
480	4694	5065
481	4708	5060
482	4721	5053
483	4737	5050
484	4757	5051
485	4770	5045
486	4780	5035
487	4791	5026
488	4801	5017
489	4813	5009
490	4825	5002
491	4837	4994
492	4847	4985
493	4857	4975
494	4868	4966
495	4880	4958
496	4891	4950
497	4903	4943
498	4915	4934
499	4928	4928
500	4943	4924
501	4957	4918
502	4970	4910
503	4983	4904
504	4994	4895
505	5009	4890
506	5023	4884
507	5041	4882
508	5071	4891
509	5087	4887
510	5097	4877
511	5108	4869
512	5121	4861
513	5133	4853
514	5143	4844
515	5154	4834
516	5165	4825
517	5176	4816
518	5188	4808
519	5203	4803
520	5216	4796
521	5227	4786
522	5238	4777
523	5249	4768
524	5258	4757
525	5270	4749
526	5281	4740
527	5292	4731
528	5304	4723
529	5319	4717
530	5331	4709
531	5347	4704
532	5359	4695
533	5370	4686
534	5380	4676
535	5400	4675
536	5413	4667
537	5424	4658
538	5436	4649
539	5449	4642
540	5467	4639
541	5483	4633
542	5501	4630
543	5519	4626
544	5536	4622
545	5552	4616
546	5567	4611
547	5584	4606
548	5596	4597
549	5607	4588
550	5619	4578
551	5646	4582
552	5670	4583
553	5684	4576
554	5699	4569
555	5713	4562
556	5726	4554
557	5738	4545
558	5748	4535
559	5760	4525
560	5771	4516
561	5789	4511
562	5802	4504
563	5815	4495
564	5828	4487
565	5840	4478
566	5876	4487
567	5987	4554
568	6007	4550
569	6031	4550
570	6056	4550
571	6069	4541
572	6081	4532
573	6091	4520
574	6102	4510
575	6112	4499
576	6123	4489
577	6135	4479
578	6146	4469
579	6157	4458
580	6166	4447
581	6175	4435
582	6183	4423
583	6192	4411
584	6201	4399
585	6210	4387
586	6220	4376
587	6228	4364
588	6237	4352
589	6245	4340
590	6254	4328
591	6263	4316
592	6273	4305
593	6284	4295
594	6294	4284
595	6305	4273
596	6318	4265
597	6332	4257
598	6346	4248
599	6355	4237
600	6364	4225
601	6374	4214
602	6383	4202
603	6393	4191
604	6401	4179
605	6411	4168
606	6421	4157
607	6430	4146
608	6439	4134
609	6448	4122
610	6459	4112
611	6471	4102
612	6484	4093
613	6495	4083
614	6506	4073
615	6516	4062
616	6527	4051
617	6542	4043
618	6556	4035
619	6569	4026
620	6581	4016
621	6592	4006
622	6606	3997
623	6618	3988
624	6637	3982
625	6655	3976
626	6670	3968
627	6682	3958
628	6697	3950
629	6711	3941
630	6723	3931
631	6735	3922
632	6748	3912
633	6765	3905
634	6783	3899
635	6811	3898
636	6825	3889
637	6837	3879
638	6848	3869
639	6859	3858
640	6869	3847
641	6879	3836
642	6888	3824
643	6899	3814
644	6910	3803
645	6922	3793
646	6933	3783
647	6945	3772
648	6972	3770
649	6989	3763
650	7002	3753
651	7017	3745
652	7029	3735
