iter	Logloss
171	0.5711171554
172	0.5710903662
173	0.571054122
174	0.5710332586
175	0.5710021166
176	0.5709978475
177	0.5709658352
178	0.5709236313
179	0.5708812323
180	0.5708520255
181	0.5708311765
182	0.5708010486
183	0.5707598118
184	0.570742744
185	0.5707099541
186	0.5706728194
187	0.5706486289
188	0.5706182949
189	0.5705801608
190	0.570541059
191	0.5705095608
192	0.5704824608
193	0.5704445135
194	0.5704268836
195	0.5703995669
196	0.5703698657
197	0.5703571594
198	0.570305745
199	0.5702914832
200	0.5702663434
201	0.5702364888
202	0.5702047656
203	0.5701773507
204	0.5701452569
205	0.5701070228
206	0.570085181
207	0.5700683072
208	0.5700377076
209	0.5700260879
210	0.5700091661
211	0.5699814618
212	0.5699518676
213	0.5699209563
214	0.5698940881
215	0.5698573636
216	0.5698339079
217	0.569814269
218	0.5697919142
219	0.569762435
220	0.5697487629
221	0.5697383265
222	0.5697086592
223	0.5697039992
224	0.5696831841
225	0.5696517698
226	0.5696270999
227	0.5696181578
228	0.5695921012
229	0.5695477167
230	0.5695174702
231	0.5694983174
232	0.5694698586
233	0.5694444437
234	0.5694226307
235	0.5693979768
236	0.5693739781
237	0.5693389722
238	0.5692965048
239	0.5692687782
240	0.56923527
241	0.5692045566
242	0.5691783577
243	0.5691438953
244	0.5691185386
245	0.5691050494
246	0.5690784323
247	0.5690495264
248	0.5690260547
249	0.5689979696
250	0.5689807904
251	0.568954306
252	0.568918089
253	0.5689000106
254	0.5688729456
255	0.5688548977
256	0.5688197912
257	0.5687975077
258	0.5687638339
259	0.5687405035
260	0.5687306119
261	0.5687085787
262	0.5686853303
263	0.5686549579
264	0.5686175122
265	0.5685955906
266	0.5685711821
267	0.5685516801
268	0.5685357818
269	0.5685085977
270	0.5684724548
271	0.5684557835
272	0.5684322551
273	0.5684248998
274	0.5683957711
275	0.5683750797
276	0.5683474503
277	0.5683219893
278	0.5683038614
279	0.5682819323
280	0.5682691225
281	0.5682360917
282	0.5682276196
283	0.5681960461
284	0.5681655317
285	0.5681446368
286	0.568124055
287	0.568103611
288	0.5680916591
289	0.5680844013
290	0.5680626574
291	0.5680412755
292	0.5680246432
293	0.5680168207
294	0.5679929981
295	0.5679830135
296	0.5679705074
297	0.5679650809
298	0.5679409498
299	0.5679235535
300	0.5678994299
301	0.5678678067
302	0.5678444422
303	0.5678228922
304	0.5678125378
305	0.5677928647
306	0.5677679766
307	0.567744277
308	0.5677237154
309	0.567708334
310	0.5676993445
311	0.5676767792
312	0.5676513211
313	0.5676357177
314	0.5676140278
315	0.5675956128
316	0.5675726355
317	0.5675559046
318	0.5675427998
319	0.5675243
320	0.5674935152
321	0.5674742382
322	0.567456188
323	0.567447844
324	0.5674327824
325	0.5674192009
326	0.5673940387
327	0.5673766146
328	0.5673555708
329	0.5673430985
330	0.5673260908
331	0.5673032027
332	0.5672929335
333	0.567274517
334	0.56726227
335	0.5672542403
336	0.5672284934
337	0.5672003786
338	0.567195084
339	0.5671700468
340	0.5671577681
341	0.5671444299
342	0.5671272463
343	0.5671165447
344	0.5670973535
345	0.5670766179
346	0.5670625004
347	0.5670423667
348	0.5670352771
349	0.5670156764
350	0.5670016164
351	0.5669908719
352	0.5669770828
353	0.5669571961
354	0.5669422046
355	0.5669242238
356	0.5668989821
357	0.5668864902
358	0.5668784927
359	0.5668677398
360	0.5668500918
361	0.566830435
362	0.5668255105
363	0.5668137964
364	0.5667915575
365	0.5667787993
366	0.5667586824
367	0.566739816
368	0.5667182808
369	0.5667135802
370	0.5666981436
371	0.5666882518
372	0.566670177
373	0.5666531494
374	0.5666367298
375	0.5666275117
376	0.566604682
377	0.5665902497
378	0.5665750482
379	0.5665660746
380	0.5665482084
381	0.5665322254
382	0.5665254271
383	0.5665103074
384	0.5665015098
385	0.5664835483
386	0.5664673734
387	0.5664604867
388	0.5664466481
389	0.5664268016
390	0.566412765
391	0.5664037795
392	0.5663961172
393	0.5663823428
394	0.5663669137
395	0.5663451688
396	0.566335377
397	0.5663179939
398	0.5663060185
399	0.5662922512
400	0.5662718666
401	0.5662565906
402	0.5662334916
403	0.5662238784
404	0.5662168972
405	0.566198308
406	0.5661864818
407	0.5661523039
408	0.5661314834
409	0.5661197318
410	0.5661047378
411	0.5661007865
412	0.5660907448
413	0.5660846141
414	0.5660729661
415	0.56606649
416	0.566050394
417	0.5660413379
418	0.5660266499
419	0.5660106322
420	0.5659956672
421	0.5659756946
422	0.5659670948
423	0.5659466161
424	0.5659327199
425	0.5659186659
426	0.5659072227
427	0.5658970628
428	0.5658792302
429	0.5658660052
430	0.5658628729
431	0.5658438269
432	0.5658304074
433	0.5658081507
434	0.5658010379
435	0.5657902525
436	0.5657846799
437	0.5657650427
438	0.5657519699
439	0.5657513353
440	0.5657302929
441	0.5657104935
442	0.5657018952
443	0.5656968959
444	0.5656908683
445	0.5656731566
446	0.5656593049
447	0.5656440976
448	0.5656274344
449	0.5656196318
450	0.5656049658
451	0.5655957652
452	0.5655904398
453	0.5655785572
454	0.565563192
455	0.5655603999
456	0.5655435461
457	0.5655334019
458	0.565517674
459	0.5655030622
460	0.5654994559
461	0.5654824845
462	0.5654764462
463	0.5654667685
464	0.565455352
465	0.5654410028
466	0.5654347496
467	0.565424041
468	0.5654043467
469	0.5653909196
470	0.565383423
471	0.5653680919
472	0.5653507385
473	0.5653402346
474	0.565327345
475	0.5653170005
476	0.565303877
477	0.5652865042
478	0.5652732691
479	0.5652584717
480	0.565246481
481	0.5652390529
482	0.5652288051
483	0.565221656
484	0.5652155649
485	0.5652000498
486	0.5651960293
487	0.5651827965
488	0.56516995
489	0.5651531927
490	0.5651358065
491	0.5651291341
492	0.5651153731
493	0.5651103915
494	0.5650987299
495	0.5650822626
496	0.5650699741
497	0.5650638479
498	0.565053245
499	0.5650406391
500	0.5650347184
501	0.5650186222
502	0.5650059428
503	0.564993741
504	0.5649830942
505	0.5649725842
506	0.564961465
507	0.5649558845
508	0.5649429328
509	0.5649254241
510	0.5649199271
511	0.5649086799
512	0.5649000187
513	0.5648878352
514	0.5648774419
515	0.5648743032
516	0.5648697021
517	0.5648595292
518	0.5648476824
519	0.564839702
520	0.5648269226
521	0.5648193753
522	0.5648149856
523	0.5647991321
524	0.564792139
525	0.5647814163
526	0.5647740606
527	0.5647589148
528	0.5647442309
529	0.564733015
530	0.5647224324
531	0.5647173695
532	0.5647045479
533	0.5646960558
534	0.5646886909
535	0.5646751679
536	0.564664461
537	0.5646558353
538	0.5646478032
539	0.5646349471
540	0.56462599
541	0.5646141823
542	0.5646010558
543	0.5645887411
544	0.5645775115
545	0.5645578627
546	0.5645507326
547	0.5645363071
548	0.5645304187
549	0.5645177298
550	0.5644988495
551	0.5644900953
552	0.5644768202
553	0.5644620992
554	0.5644552755
555	0.5644413306
556	0.5644255181
557	0.5644157159
558	0.5644060679
559	0.5643931632
560	0.5643791075
561	0.5643665089
562	0.5643537775
563	0.564347733
564	0.5643325218
565	0.56432722
566	0.5643184704
567	0.564307087
568	0.5642974706
569	0.5642844031
570	0.5642683637
571	0.5642556718
572	0.5642411426
573	0.564232996
574	0.5642228696
575	0.5642112541
576	0.5642011603
577	0.5641959491
578	0.5641880465
579	0.5641819257
580	0.5641750832
581	0.5641658966
582	0.564157807
583	0.5641473514
584	0.5641354243
585	0.5641219932
586	0.5641175016
587	0.5641135004
588	0.5641090005
589	0.5640963422
590	0.5640846094
591	0.5640799641
592	0.5640689829
593	0.5640551877
594	0.564049743
595	0.5640378531
596	0.5640212714
597	0.5640079972
598	0.5640037953
599	0.563996659
600	0.5639927454
601	0.5639802535
602	0.563971087
603	0.5639614102
604	0.563955436
605	0.5639429189
606	0.5639301981
607	0.56392015
608	0.5639125324
609	0.5639008631
610	0.5638932849
611	0.5638864049
612	0.5638825021
613	0.5638786935
614	0.5638648539
615	0.5638624467
616	0.5638475963
617	0.5638311811
618	0.5638216372
619	0.5638159085
620	0.563810663
621	0.5638075454
622	0.5638063344
623	0.5637978857
624	0.5637888039
625	0.5637815042
626	0.5637684022
627	0.5637601892
628	0.5637532147
629	0.563743455
630	0.5637357287
631	0.563730183
632	0.5637250187
633	0.5637173291
634	0.5637132967
635	0.5637064569
636	0.5637026687
637	0.5636916788
638	0.5636835164
639	0.5636715103
640	0.5636616557
641	0.5636558127
642	0.5636499563
643	0.5636393633
644	0.5636316635
645	0.5636259326
646	0.5636190566
647	0.5636120465
648	0.5636002351
649	0.5635930785
650	0.5635806844
651	0.5635751551
652	0.563564704
653	0.5635572183
654	0.56355254
655	0.5635447178
656	0.5635406985
657	0.5635326241
658	0.5635212147
659	0.5635087345
660	0.56350043
661	0.5634942636
662	0.5634817205
663	0.5634713009
664	0.5634593289
665	0.5634464919
666	0.5634420422
667	0.563436744
668	0.5634317468
669	0.5634232226
670	0.5634163557
671	0.5634112936
672	0.5634085891
673	0.5634006564
674	0.5633926189
675	0.5633866897
676	0.5633809142
677	0.5633700502
678	0.5633608427
679	0.5633532972
680	0.563342729
681	0.5633360556
682	0.5633325475
683	0.5633236887
684	0.5633134452
685	0.5633087222
686	0.5632981939
687	0.5632949031
688	0.5632863764
689	0.5632752806
690	0.563270035
691	0.5632594823
692	0.5632572948
693	0.5632447886
694	0.563238964
695	0.5632302911
696	0.5632225017
697	0.5632140764
698	0.5632064797
699	0.5631993945
700	0.5631888803
701	0.5631847903
702	0.5631744076
703	0.5631597677
704	0.5631532217
705	0.5631414623
706	0.563136628
707	0.5631277399
708	0.5631217379
709	0.563112534
710	0.5631050645
711	0.5631008007
712	0.5630909974
713	0.5630783105
714	0.5630698473
715	0.563058014
716	0.5630483391
717	0.5630462526
718	0.563036839
719	0.563027804
720	0.5630192834
721	0.5630115776
722	0.5629984228
723	0.5629890675
724	0.5629862691
725	0.5629752445
726	0.5629656807
727	0.5629543339
728	0.5629476965
729	0.5629402417
730	0.5629337772
731	0.5629264628
732	0.5629214583
733	0.5629136809
734	0.5629046607
735	0.5629024786
736	0.5628984829
737	0.5628915411
738	0.5628790117
739	0.5628720324
740	0.5628656181
741	0.5628598828
742	0.5628530153
743	0.5628438306
744	0.562839521
745	0.5628312657
746	0.5628286362
747	0.5628227602
748	0.5628161009
749	0.562811559
750	0.5628020024
751	0.5627932488
752	0.5627880687
753	0.5627821681
754	0.5627737841
755	0.5627664321
756	0.5627554458
757	0.5627527474
758	0.5627486585
759	0.5627441006
760	0.5627330026
761	0.5627266446
762	0.5627207102
763	0.5627142584
764	0.5627099492
765	0.5627090636
766	0.5627033142
767	0.5626957305
768	0.5626887853
769	0.5626803389
770	0.5626728374
771	0.5626700205
772	0.5626648501
773	0.5626550338
774	0.5626487487
775	0.5626431897
776	0.5626392533
777	0.5626313858
778	0.5626275125
779	0.5626200425
780	0.5626174675
781	0.5626039927
782	0.5626001789
783	0.5625943668
784	0.562586315
785	0.5625784757
786	0.5625707566
787	0.5625602532
788	0.5625528269
789	0.5625446086
790	0.5625362071
791	0.5625326556
792	0.5625233457
793	0.5625142908
794	0.5625066956
795	0.5624971717
796	0.5624936873
797	0.562490345
798	0.562480032
799	0.5624719792
800	0.5624669637
801	0.5624570014
802	0.5624498287
803	0.5624424596
804	0.5624340943
805	0.5624267737
806	0.5624192642
807	0.5624131704
808	0.5624074865
809	0.5624011183
810	0.5623937983
811	0.5623841066
812	0.5623781274
813	0.5623726926
814	0.5623649302
815	0.5623577521
816	0.5623504287
817	0.5623433093
818	0.5623347023
819	0.5623298214
820	0.5623224398
821	0.5623161267
822	0.5623134108
823	0.5623048585
824	0.5622992133
825	0.5622890621
826	0.5622793797
827	0.5622718364
828	0.5622671545
829	0.5622605449
830	0.5622584566
831	0.5622548185
832	0.5622502612
833	0.5622466703
834	0.5622386636
835	0.5622304419
836	0.5622246025
837	0.5622182149
838	0.5622153388
839	0.5622112878
840	0.5622046454
841	0.5621974351
842	0.5621893423
843	0.5621836264
844	0.5621806793
845	0.5621797328
846	0.5621692915
847	0.5621611364
848	0.5621578249
849	0.5621549244
850	0.5621494123
851	0.5621417862
852	0.5621344255
853	0.5621269624
854	0.5621188659
855	0.5621172331
856	0.5621094582
857	0.5621022595
858	0.5620971746
859	0.5620924435
860	0.5620885954
861	0.562082675
862	0.562081414
863	0.5620769679
864	0.5620698446
865	0.5620659233
866	0.5620625284
867	0.5620545037
868	0.5620467389
869	0.5620440021
870	0.5620431856
871	0.5620352629
872	0.5620282254
873	0.5620210067
874	0.5620137505
875	0.5620082839
876	0.5619982214
877	0.5619930183
878	0.5619860968
879	0.5619787969
880	0.5619724192
881	0.5619693431
882	0.561963737
883	0.5619603987
884	0.5619520227
885	0.5619516528
886	0.5619455747
887	0.5619400909
888	0.5619349797
889	0.5619306426
890	0.5619229022
891	0.5619187232
892	0.5619173966
893	0.5619106263
894	0.5619042904
895	0.5619002937
896	0.5618964931
897	0.5618951869
898	0.5618883089
899	0.561882879
900	0.5618756635
901	0.5618692448
902	0.5618607369
903	0.5618555863
904	0.5618474209
905	0.561837516
906	0.5618309368
907	0.5618218267
908	0.5618177723
909	0.5618127573
910	0.5618061828
911	0.5618038392
912	0.5617951129
913	0.5617907031
914	0.5617854918
915	0.5617759032
916	0.5617686949
917	0.561766975
918	0.561765488
919	0.5617587657
920	0.5617552884
921	0.5617532356
922	0.5617454339
923	0.5617245027
924	0.5617164564
925	0.5617135047
926	0.5617048344
927	0.5616988188
928	0.5616915539
929	0.5616875234
930	0.5616824464
931	0.5616759206
932	0.5616704176
933	0.5616650751
934	0.5616610743
935	0.561652884
936	0.5616492034
937	0.5616451888
938	0.5616422576
939	0.5616360407
940	0.5616271552
941	0.5616239824
942	0.5616208618
943	0.5616132293
944	0.5616075944
945	0.5616027675
946	0.5615961772
947	0.5615873054
948	0.5615804179
949	0.5615723865
950	0.5615661163
951	0.561562733
952	0.5615509088
953	0.5615428571
954	0.5615375343
955	0.561529907
956	0.5615239072
957	0.5615202699
958	0.5615126029
959	0.5615095174
960	0.561504498
961	0.5614990082
962	0.5614927905
963	0.5614873387
964	0.5614821626
965	0.561477427
966	0.5614731322
967	0.5614678309
968	0.5614614211
969	0.5614602652
970	0.5614521894
971	0.5614479927
972	0.5614434334
973	0.5614397748
974	0.5614368089
975	0.5614305465
976	0.5614234384
977	0.5614171316
978	0.561410342
979	0.5614020252
980	0.5613916815
981	0.5613831056
982	0.5613727388
983	0.5613665216
984	0.5613577051
985	0.5613570631
986	0.5613508724
987	0.5613443888
988	0.5613365684
989	0.5613337506
990	0.5613244959
991	0.5613195776
992	0.561315059
993	0.5613106851
994	0.5613071498
995	0.56130336
996	0.5612946
997	0.5612868776
998	0.5612807853
999	0.5612749357
